
2025/04/12 (12:36:51) | ===> btop++ v.1.4.0
2025/04/12 (12:36:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (12:40:56) | ===> btop++ v.1.4.0
2025/04/12 (12:40:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (13:14:00) | ===> btop++ v.1.4.0
2025/04/12 (13:14:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (20:22:26) | ===> btop++ v.1.4.0
2025/04/12 (20:22:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (16:13:33) | ===> btop++ v.1.4.0
2025/04/18 (16:13:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (16:14:08) | ===> btop++ v.1.4.0
2025/04/18 (16:14:08) | WARNING: Intel GPU: Failed to initialize PMU
